title,price,location,bedrooms,bathrooms,listing_url,scraped_at
4 Bed Apartment with En Suite in Lavington,"KSh 13,500,000",Lavington,4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4027070,2026-07-21T13:16:16.208083
4 Bed Apartment with En Suite in Westlands Area,"KSh 18,000,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4027071,2026-07-21T13:16:16.208097
3 Bed Apartment with En Suite in Kileleshwa,"KSh 9,000,000",Kileleshwa,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4030611,2026-07-21T13:16:16.208111
3 Bed Apartment with En Suite in Kilimani,"KSh 9,000,000",Kilimani,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4030610,2026-07-21T13:16:16.208125
2 Bed Apartment with En Suite in Westlands Area,"KSh 7,000,000","Westlands Area, Westlands",2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4030609,2026-07-21T13:16:16.208138
2 Bed Apartment with En Suite in Lavington,"KSh 6,000,000",Lavington,2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4030608,2026-07-21T13:16:16.208151
2 Bed Apartment with En Suite in Kileleshwa,"KSh 6,000,000",Kileleshwa,2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4030607,2026-07-21T13:16:16.208164
2 Bed Apartment with En Suite in Kilimani,"KSh 6,000,000",Kilimani,2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4030410,2026-07-21T13:16:16.208178
1 Bed Apartment with En Suite in Westlands Area,"KSh 4,000,000","Westlands Area, Westlands",1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4030366,2026-07-21T13:16:16.208191
1 Bed Apartment with En Suite in Lavington,"KSh 3,000,000",Lavington,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4030365,2026-07-21T13:16:16.208205
1 Bed Apartment with En Suite in Kileleshwa,"KSh 3,000,000",Kileleshwa,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4030361,2026-07-21T13:16:16.208219
1 Bed Apartment with En Suite in Kilimani,"KSh 3,000,000",Kilimani,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4030358,2026-07-21T13:16:16.208232
Serviced 1 Bed Apartment with En Suite in Kileleshwa,"KSh 5,500,000",Kileleshwa,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4030585,2026-07-21T13:16:16.208246
3 Bed Apartment with En Suite at Riara Road,"KSh 19,000,000",Kilimani,3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4030596,2026-07-21T13:16:16.208259
4 Bed Apartment with En Suite in Kileleshwa,"KSh 13,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4030521,2026-07-21T13:16:16.208273
