title,price,location,bedrooms,listing_url,scraped_at,log_price,bed_bath_ratio,tier,tier_Premium
4 Bed Apartment with En Suite in Kilimani,13500000.0,Kilimani,4,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kilimani-4027720,2026-07-21T13:47:40.970395,16.41820024340866,1.0,Mid,0
Studio Apartment with Swimming Pool at Mpaka Road,6460000.0,Westlands,2,https://www.buyrentkenya.com/listings/studio-apartment-for-sale-westlands-area-4027748,2026-07-21T13:47:40.970404,15.681139875758785,2.0,Premium,1
3 Bed Apartment with En Suite in Westlands Area,13000000.0,Westlands,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4027715,2026-07-21T13:47:40.970412,16.38045991542581,1.5,Premium,1
3 Bed Apartment with En Suite in Lavington,9000000.0,Lavington,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4027713,2026-07-21T13:47:40.970421,16.012735135300492,1.5,Mid,0
3 Bed Apartment with En Suite in Kileleshwa,9000000.0,Kileleshwa,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4027712,2026-07-21T13:47:40.970430,16.012735135300492,1.5,Mid,0
3 Bed Apartment with En Suite in Kilimani,9000000.0,Kilimani,3,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4027708,2026-07-21T13:47:40.970438,16.012735135300492,1.5,Mid,0
2 Bed Apartment with En Suite in Westlands Area,7000000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4027704,2026-07-21T13:47:40.970446,15.761420707019589,2.0,Premium,1
2 Bed Apartment with En Suite at Nyeri Rd,9500000.0,Kileleshwa,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4027740,2026-07-21T13:47:40.970455,16.06680235657077,1.0,Mid,0
2 Bed Apartment with En Suite in Lavington,6000000.0,Lavington,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4027703,2026-07-21T13:47:40.970463,15.60727002719233,2.0,Mid,0
2 Bed Apartment with En Suite in Kileleshwa,6000000.0,Kileleshwa,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4027700,2026-07-21T13:47:40.970471,15.60727002719233,2.0,Mid,0
2 Bed Apartment with Gym in Kilimani,17000000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027710,2026-07-21T13:47:40.970479,16.64872390202049,0.6666666666666666,Mid,0
2 Bed Apartment with En Suite in Kilimani,6000000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027686,2026-07-21T13:47:40.970487,15.60727002719233,2.0,Mid,0
1 Bed Apartment with En Suite in Westlands Area,4000000.0,Westlands,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4027685,2026-07-21T13:47:40.970495,15.201804919084164,1.0,Premium,1
2 Bed Apartment with En Suite at Nyeri Rd,9000000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4027729,2026-07-21T13:47:40.970503,16.012735135300492,1.0,Premium,1
1 Bed Apartment with En Suite in Lavington,3000000.0,Lavington,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4027676,2026-07-21T13:47:40.970511,14.914122846632385,1.0,Mid,0
1 Bed Apartment with En Suite in Kileleshwa,3000000.0,Kileleshwa,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4027673,2026-07-21T13:47:40.970520,14.914122846632385,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,3000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027667,2026-07-21T13:47:40.970528,14.914122846632385,1.0,Mid,0
1 Bed Apartment with En Suite in Lavington,4000000.0,Lavington,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4027723,2026-07-21T13:47:40.970536,15.201804919084164,1.0,Mid,0
2 Bed Apartment with En Suite in Riverside,7500000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-riverside-4027727,2026-07-21T13:47:40.970545,15.83041357850654,1.0,Premium,1
2 Bed Apartment with En Suite at Riverside Drive,12000000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-riverside-4027709,2026-07-21T13:47:40.970553,16.300417207752275,2.0,Premium,1
2 Bed Apartment with En Suite in Riverside,13500000.0,Westlands,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-riverside-4027725,2026-07-21T13:47:40.970561,16.41820024340866,1.0,Premium,1
2 Bed Apartment with En Suite at Wood Avenue,10950000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027716,2026-07-21T13:48:08.916828,16.208850014226783,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,3000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027714,2026-07-21T13:48:08.916856,14.914122846632385,1.0,Mid,0
1 Bed Apartment with Swimming Pool at Wood Avenue,6000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027707,2026-07-21T13:48:08.916867,15.60727002719233,1.0,Mid,0
